"weekendingdate","jurisdiction","totalconfc19newadmadult","totalconfc19newadmped","totalconfc19newadm","totalconfflunewadmadult","totalconfflunewadmped","totalconfflunewadm","totalconfrsvnewadmadult","totalconfrsvnewadmped","totalconfrsvnewadm","totalconfc19newadmperchosprep","totalconfflunewadmperchosprep","totalconfrsvnewadmperchosprep"
"2020-08-08T00:00:00.000","AK",49,0,49,NA,NA,NA,NA,NA,NA,1,0,0
"2020-08-08T00:00:00.000","HI",218,0,218,NA,NA,NA,NA,NA,NA,0.8929,0,0
"2020-08-08T00:00:00.000","AZ",1645,13,1658,NA,NA,NA,NA,NA,NA,0.798,0,0
"2020-08-08T00:00:00.000","WY",117,0,117,NA,NA,NA,NA,NA,NA,0.9333,0,0
"2020-08-08T00:00:00.000","ID",144,1,145,NA,NA,NA,NA,NA,NA,0.8298,0,0
"2020-08-08T00:00:00.000","VT",3,0,3,NA,NA,NA,NA,NA,NA,0.4667,0,0
"2020-08-08T00:00:00.000","MA",161,10,171,NA,NA,NA,NA,NA,NA,0.7727,0,0
"2020-08-08T00:00:00.000","CO",312,4,316,NA,NA,NA,NA,NA,NA,0.74,0,0
"2020-08-08T00:00:00.000","MP",0,NA,0,NA,NA,NA,NA,NA,NA,1,0,0
"2020-08-08T00:00:00.000","KS",165,1,166,NA,NA,NA,NA,NA,NA,0.6224,0,0
"2020-08-08T00:00:00.000","DC",93,8,101,NA,NA,NA,NA,NA,NA,0.9,0,0
"2020-08-08T00:00:00.000","PA",611,15,626,NA,NA,NA,NA,NA,NA,0.7202,0,0
"2020-08-08T00:00:00.000","UT",121,7,128,NA,NA,NA,NA,NA,NA,0.7857,0,0
"2020-08-08T00:00:00.000","NJ",178,2,180,NA,NA,NA,NA,NA,NA,0.6706,0,0
"2020-08-08T00:00:00.000","MO",423,4,427,NA,NA,NA,NA,NA,NA,0.7097,0,0
"2020-08-08T00:00:00.000","MD",384,3,387,NA,NA,NA,NA,NA,NA,0.7451,0,0
"2020-08-08T00:00:00.000","IA",362,4,366,NA,NA,NA,NA,NA,NA,0.9756,0,0
"2020-08-08T00:00:00.000","TN",1390,12,1402,NA,NA,NA,NA,NA,NA,0.8496,0,0
"2020-08-08T00:00:00.000","FL",6532,201,6733,NA,NA,NA,NA,NA,NA,0.8514,0,0
"2020-08-08T00:00:00.000","GA",1281,35,1316,NA,NA,NA,NA,NA,NA,0.55,0,0
"2020-08-08T00:00:00.000","RI",42,5,47,NA,NA,NA,NA,NA,NA,0.8333,0,0
"2020-08-08T00:00:00.000","NH",12,0,12,NA,NA,NA,NA,NA,NA,0.8846,0,0
"2020-08-08T00:00:00.000","NV",750,10,760,NA,NA,0,NA,NA,NA,0.8431,0.8039,0
"2020-08-08T00:00:00.000","MS",763,3,766,NA,NA,NA,NA,NA,NA,0.7453,0,0
"2020-08-08T00:00:00.000","WA",191,1,192,NA,NA,0,NA,NA,NA,0.7216,0.0103,0
"2020-08-08T00:00:00.000","NM",60,0,60,NA,NA,NA,NA,NA,NA,0.7551,0,0
"2020-08-08T00:00:00.000","AR",444,0,444,NA,NA,NA,NA,NA,NA,0.7065,0,0
"2020-08-08T00:00:00.000","CT",101,0,101,NA,NA,NA,NA,NA,NA,0.9688,0,0
"2020-08-08T00:00:00.000","NE",68,1,69,NA,NA,NA,NA,NA,NA,0.6429,0,0
"2020-08-08T00:00:00.000","ME",11,0,11,NA,NA,NA,NA,NA,NA,0.6579,0,0
"2020-08-08T00:00:00.000","TX",6431,140,6571,NA,NA,NA,NA,NA,NA,0.8843,0,0
"2020-08-08T00:00:00.000","KY",1084,6,1090,NA,NA,NA,NA,NA,NA,0.8571,0,0
"2020-08-08T00:00:00.000","AL",1675,74,1749,NA,NA,NA,NA,NA,NA,0.92,0,0
"2020-08-08T00:00:00.000","USA",38007,991,38998,NA,NA,0,NA,NA,NA,0.778,0.008,0
"2020-08-08T00:00:00.000","OR",88,1,89,NA,NA,NA,NA,NA,NA,0.7581,0,0
"2020-08-08T00:00:00.000","VA",313,20,333,NA,NA,NA,NA,NA,NA,0.6139,0,0
"2020-08-08T00:00:00.000","NY",514,3,517,NA,NA,0,NA,NA,NA,0.6942,0.0049,0
"2020-08-08T00:00:00.000","PR",161,21,182,NA,NA,NA,NA,NA,NA,0.8364,0,0
"2020-08-08T00:00:00.000","MI",237,5,242,NA,NA,0,NA,NA,NA,0.8974,0.0064,0
"2020-08-08T00:00:00.000","OK",342,10,352,NA,NA,NA,NA,NA,NA,0.7143,0,0
"2020-08-08T00:00:00.000","AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2020-08-08T00:00:00.000","SC",933,10,943,NA,NA,0,NA,NA,NA,0.7867,0.0133,0
"2020-08-08T00:00:00.000","ND",91,5,96,NA,NA,NA,NA,NA,NA,1,0,0
"2020-08-08T00:00:00.000","SD",47,0,47,NA,NA,NA,NA,NA,NA,0.629,0,0
"2020-08-08T00:00:00.000","WI",514,159,673,NA,NA,NA,NA,NA,NA,0.8844,0,0
"2020-08-08T00:00:00.000","MT",88,0,88,NA,NA,NA,NA,NA,NA,0.4603,0,0
"2020-08-08T00:00:00.000","MN",127,11,138,NA,NA,NA,NA,NA,NA,0.8271,0,0
"2020-08-08T00:00:00.000","NC",992,16,1008,NA,NA,NA,NA,NA,NA,0.8296,0,0
"2020-08-08T00:00:00.000","GU",4,0,4,NA,NA,NA,NA,NA,NA,0.5,0,0
"2020-08-08T00:00:00.000","CA",4715,121,4836,NA,NA,NA,NA,NA,NA,0.9045,0,0
"2020-08-08T00:00:00.000","VI",1,0,1,NA,NA,NA,NA,NA,NA,1,0,0
"2020-08-08T00:00:00.000","IN",394,13,407,NA,NA,NA,NA,NA,NA,0.7746,0,0
"2020-08-08T00:00:00.000","LA",1459,17,1476,NA,NA,0,NA,NA,NA,0.9202,0.0061,0
"2020-08-08T00:00:00.000","IL",628,5,633,NA,NA,NA,NA,NA,NA,0.6935,0,0
"2020-08-08T00:00:00.000","DE",6,1,7,NA,NA,NA,NA,NA,NA,0.4545,0,0
"2020-08-08T00:00:00.000","WV",96,0,96,NA,NA,NA,NA,NA,NA,0.8983,0,0
"2020-08-08T00:00:00.000","OH",436,13,449,NA,NA,NA,NA,NA,NA,0.4038,0,0
"2020-08-15T00:00:00.000","WY",48,0,48,NA,NA,NA,NA,NA,NA,0.9667,0,0
"2020-08-15T00:00:00.000","ID",121,3,124,NA,NA,NA,NA,NA,NA,0.9362,0,0
"2020-08-15T00:00:00.000","IL",606,7,613,NA,NA,NA,NA,NA,NA,0.8894,0,0
"2020-08-15T00:00:00.000","GA",1451,97,1548,NA,NA,NA,NA,NA,NA,0.8438,0,0
"2020-08-15T00:00:00.000","VA",398,23,421,NA,NA,NA,NA,NA,NA,0.7921,0,0
"2020-08-15T00:00:00.000","LA",1336,6,1342,NA,NA,0,NA,NA,NA,0.865,0.0061,0
"2020-08-15T00:00:00.000","SC",640,5,645,NA,NA,0,NA,NA,NA,0.8933,0.0133,0
"2020-08-15T00:00:00.000","RI",54,4,58,NA,NA,NA,NA,NA,NA,0.8333,0,0
"2020-08-15T00:00:00.000","CA",4168,105,4273,NA,NA,NA,NA,NA,NA,0.9497,0,0
"2020-08-15T00:00:00.000","WA",190,0,190,NA,NA,0,NA,NA,NA,0.9485,0.0103,0
"2020-08-15T00:00:00.000","CO",245,11,256,NA,NA,NA,NA,NA,NA,0.87,0,0
